"name";"uk";"form_date";"focus";"focus_more";"num_people";"min_input";"manager";"fee_uk";"fee_max";"id";"date"
"XXII век";"Брокеркредитсервис";"18.11.2003";"акции";"Иностранные активы";"1 518";"10 000";"Обухов Денис";"3.90% от СЧА";"5.20% от СЧА";166;"2021-04-02"
"АК БАРС - Акции
                                                        
                                                            можно купить online";"АК БАРС КАПИТАЛ";"26.12.2003";"акции";"";"70";"3 000";"Кокорев Олег Вячеславович";"1.50% от СЧА";"2.30% от СЧА";266;"2021-04-02"
"АТОН - ИНФРАСТРУКТУРА";"Атон-менеджмент";"10.10.2007";"акции";"";"621";"1 000";"Ацканов Исуф Алимович";"4.20% от СЧА";"6.70% от СЧА";1055;"2021-04-02"
"Агидель - акции
                                                        
                                                            можно купить online";"Агидель";"15.12.2000";"акции";"";"138";"5 000";"";"1.50% от СЧА";"2.30% от СЧА";46;"2021-04-02"
"Альфа-Капитал Ликвидные акции";"Альфа-Капитал";"30.09.2005";"акции";"";"47 494";"100";"Михайлов Дмитрий";"3.50% от СЧА";"4.00% от СЧА";432;"2021-04-02"
"Альфа-Капитал Ресурсы";"Альфа-Капитал";"27.12.2006";"акции";"";"24 533";"100";"Харин Эдуард";"3.50% от СЧА";"4.00% от СЧА";745;"2021-04-02"
"Альфа-Капитал Технологии";"Альфа-Капитал";"27.12.2006";"акции";"Иностранные активы";"38 709";"100";"Доникян Марк";"3.50% от СЧА";"4.00% от СЧА";743;"2021-04-02"
"Алёнка - Капитал
                                                        
                                                            можно купить online";"Инвест Менеджмент Центр";"27.10.2017";"акции";"";"305";"10 000";"";"3.00% от СЧА";"9.50% от СЧА";4695;"2021-04-02"
"Апрель Капитал - Акции";"Апрель Капитал";"08.07.2003";"акции";"";"503";"1 000";"Скворцов Дмитрий Валентинович";"3.54% от СЧА";"5.04% от СЧА";39;"2021-04-02"
"Апрель Капитал - Акции несырьевых компаний";"Апрель Капитал";"22.06.2007";"акции";"";"57";"1 000";"Скворцов Дмитрий Валентинович";"3.54% от СЧА";"5.44% от СЧА";893;"2021-04-02"
"Апрель Капитал - Акции сырьевых компаний";"Апрель Капитал";"10.07.2007";"акции";"";"170";"1 000";"Скворцов Дмитрий Валентинович";"3.54% от СЧА";"5.54% от СЧА";892;"2021-04-02"
"Арсагера - фонд акций
                                                        
                                                            можно купить online";"Арсагера";"30.06.2005";"акции";"";"1 416";"1 000";"";"2.50% от СЧА";"2.52% от СЧА";403;"2021-04-02"
"Атон - Петр Столыпин";"Атон-менеджмент";"28.05.1997";"акции";"";"9 150";"1 000";"Стесева Юлия";"4.20% от СЧА";"5.70% от СЧА";63;"2021-04-02"
"Атон - Фонд высоких технологий";"Атон-менеджмент";"10.10.2007";"акции";"Иностранные активы";"552";"1 000";"Ацканов Исуф Алимович";"4.20% от СЧА";"9.70% от СЧА";1056;"2021-04-02"
"Атон - Фонд международных рынков";"Атон-менеджмент";"17.12.2012";"акции";"Иностранные активы";"599";"1 000";"Ацканов Исуф Алимович";"4.20% от СЧА";"10.20% от СЧА";2897;"2021-04-02"
"БКС Перспектива";"Брокеркредитсервис";"19.05.2000";"акции";"Иностранные активы";"5 395";"10 000";"Обухов Денис";"3.90% от СЧА";"5.80% от СЧА";96;"2021-04-02"
"БКС Российские Акции";"Брокеркредитсервис";"21.02.2005";"акции";"";"3 344";"10 000";"Русецкий Андрей Александрович";"3.90% от СЧА";"7.20% от СЧА";316;"2021-04-02"
"Базовые отрасли";"Инвест-Урал";"15.09.2011";"акции";"";"1";"50 000";"";"2.00% от СЧА";"6.00% от СЧА";2251;"2021-04-02"
"ВТБ - БРИК";"ВТБ Капитал Управление активами";"16.09.1997";"акции";"Иностранные активы";"1 433";"5 000";"";"2.50% от СЧА";"2.77% от СЧА";44;"2021-04-02"
"ВТБ - Фонд Акций";"ВТБ Капитал Управление активами";"06.11.2007";"акции";"";"15 826";"5 000";"";"3.00% от СЧА";"3.27% от СЧА";1003;"2021-04-02"
"ВТБ - Фонд Акций. Ответственные инвестиции";"ВТБ Капитал Управление активами";"16.10.2007";"акции";"";"779";"1 000";"Обухов Денис";"3.20% от СЧА";"3.50% от СЧА";1045;"2021-04-02"
"ВТБ - Фонд Глобальных дивидендов";"ВТБ Капитал Управление активами";"25.03.2003";"акции";"Иностранные активы";"1 094";"5 000";"";"2.40% от СЧА";"2.76% от СЧА";53;"2021-04-02"
"ВТБ - Фонд Компаний малой и средней капитализации";"ВТБ Капитал Управление активами";"31.10.2007";"акции";"";"1 371";"5 000";"";"3.00% от СЧА";"5.50% от СЧА";1008;"2021-04-02"
"ВТБ - Фонд Металлургии";"ВТБ Капитал Управление активами";"06.11.2007";"акции";"";"2 694";"5 000";"";"3.00% от СЧА";"3.38% от СЧА";1010;"2021-04-02"
"ВТБ - Фонд Мировые премиальные бренды";"ВТБ Капитал Управление активами";"01.11.2007";"акции";"Иностранные активы";"1 008";"5 000";"";"3.00% от СЧА";"3.50% от СЧА";1002;"2021-04-02"
"ВТБ - Фонд Нефтегазового сектора";"ВТБ Капитал Управление активами";"06.11.2007";"акции";"";"6 872";"5 000";"";"3.00% от СЧА";"3.26% от СЧА";1009;"2021-04-02"
"ВТБ - Фонд Предприятий с государственным участием";"ВТБ Капитал Управление активами";"22.10.2007";"акции";"";"3 092";"5 000";"";"3.00% от СЧА";"3.26% от СЧА";1012;"2021-04-02"
"ВТБ - Фонд Технологий будущего";"ВТБ Капитал Управление активами";"06.11.2007";"акции";"Иностранные активы";"5 999";"5 000";"";"2.50% от СЧА";"2.96% от СЧА";1011;"2021-04-02"
"ВТБ - Фонд Электроэнергетики";"ВТБ Капитал Управление активами";"06.11.2007";"акции";"";"3 176";"5 000";"";"3.00% от СЧА";"3.26% от СЧА";1006;"2021-04-02"
"Газпромбанк - Акции";"Газпромбанк — Управление активами";"05.10.2006";"акции";"";"1 130";"1 000";"";"3.00% от СЧА";"4.00% от СЧА";668;"2021-04-02"
