"date";"Ïàé";"Ñ×À";"id"
2021-04-01;477.75;942466532.9;166
2021-03-31;462.37;912018203.22;166
2021-03-30;455.63;885864169.35;166
2021-03-29;451.06;874773673.08;166
2021-03-26;460.59;883262436.85;166
2021-03-25;452.41;867490320.81;166
2021-03-24;451.49;860676417.1;166
2021-03-23;459.2;875161293.77;166
2021-03-22;458.08;872581974.45;166
2021-03-19;445.66;838927155.89;166
2021-03-18;440.68;829093682.28;166
2021-03-17;459.67;854793962.9;166
2021-03-16;449.94;836899657.93;166
2021-03-15;453.93;833812705.38;166
2021-03-12;448.38;813181217.65;166
2021-03-11;454.16;812511470.67;166
2021-03-10;440.56;778049624.17;166
2021-03-09;444.45;782912696.22;166
2021-03-05;439.22;763082845.87;166
2021-03-04;432.48;747364903.04;166
2021-03-03;451.96;770172533.48;166
2021-03-02;466.26;782893355.94;166
2021-03-01;476.86;790427949.08;166
2021-02-26;467.34;772777370.21;166
2021-02-25;456.94;755091705.5;166
2021-02-24;476.65;777668817.98;166
2021-02-20;489.83;793279758.6;166
2021-02-19;488.86;779654128.58;166
2021-02-18;483;760260616.18;166
2021-02-17;488.09;756636329.28;166
2021-02-16;490.08;734221913.08;166
2021-02-15;492.42;719675583.33;166
2021-02-12;494.53;700462127.48;166
2021-02-11;485.96;687814792.15;166
2021-02-10;478.64;667589947.92;166
2021-02-09;479.03;646450017.8;166
2021-02-08;480;647230115.9;166
2021-02-05;474.09;628685118.66;166
2021-02-04;481.18;631431684.67;166
2021-02-03;475.99;613770644.89;166
2021-02-02;476.93;603095991.37;166
2021-02-01;472.68;587571744.32;166
2021-01-29;460.29;560771260.34;166
2021-01-28;469.36;561936265.21;166
2021-01-27;460.18;540314464.72;166
2021-01-26;470.13;552322635.32;166
2021-01-25;481.81;555245515.28;166
2021-01-22;478.29;534625501.43;166
2021-01-21;473.07;528791437.26;166
2021-01-20;469.6;523873235.4;166
2021-01-19;467.48;511607481.8;166
2021-01-18;464.19;497928498.23;166
2021-01-15;459.9;493290128.52;166
2021-01-14;465.7;489019084.59;166
2021-01-13;464.2;466939870.46;166
2021-01-12;467.88;469628187.05;166
2021-01-11;469.47;465253543.89;166
2020-12-31;447.59;443569162.56;166
2020-12-30;454.14;429840482.82;166
2020-12-29;443.79;414945377.63;166
2020-12-28;447.76;413674560;166
2020-12-25;453.98;408537842.91;166
2020-12-24;453.47;405859275.03;166
2020-12-23;458.04;399948608.44;166
2020-12-22;464.32;395994869.99;166
2020-12-21;455.73;378419380.48;166
2020-12-18;449.69;368108218.29;166
2020-12-17;442.69;362374681.85;166
